Farra di Soligo comune,Farra di Soligo comune.1
,
"Farra di Soligo – VedutaChiesa di San Vigilio vista d'estate, attorniata di vigneti per la produzione del Prosecco","Farra di Soligo – VedutaChiesa di San Vigilio vista d'estate, attorniata di vigneti per la produzione del Prosecco"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Mattia Perencin (lista civica di centro-destra Farra viva) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°54′12.9″N 12°06′44.28″E
Altitudine,163 m s.l.m.
Superficie,"28,34 km²"
Abitanti,8 498[1] (30-11-2025)
Densità,"299,86 ab./km²"
Frazioni,"Col San Martino, Soligo"
Comuni confinanti,"Follina, Miane, Moriago della Battaglia, Pieve di Soligo, Sernaglia della Battaglia, Valdobbiadene, Vidor"
Altre informazioni,Altre informazioni
Cod. postale,31010
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026026
Cod. catastale,D505
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 614 GG[3]"
Nome abitanti,farresi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Farra di Soligo,Farra di Soligo
Farra di Soligo – MappaIl territorio comunale nella provincia di Treviso.,Farra di Soligo – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
