Cordignano comune,Cordignano comune.1
,
Cordignano – VedutaPiazza Italia con la facciata della chiesa arcipretale,Cordignano – VedutaPiazza Italia con la facciata della chiesa arcipretale
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Roberto Campagna (LSP-civiche) dal 4-10-2021
Territorio,Territorio
Coordinate,45°57′N 12°25′E
Altitudine,56 m s.l.m.
Superficie,"26,25 km²"
Abitanti,6 798[1] (30-11-2025)
Densità,"258,97 ab./km²"
Frazioni,"Pinidello, Ponte della Muda, Villa di Villa Località: Palù, Pinè, San Rocco, Santo Stefano, Silvella, Campardo"
Comuni confinanti,"Caneva (PN), Cappella Maggiore, Colle Umberto, Fregona, Gaiarine, Godega di Sant'Urbano, Orsago, Sacile (PN), Sarmede"
Altre informazioni,Altre informazioni
Cod. postale,31016
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026022
Cod. catastale,C992
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 456 GG[3]"
Nome abitanti,cordignanesi
Patrono,San Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Cordignano,Cordignano
Cordignano – MappaIl territorio comunale nella provincia di Treviso.,Cordignano – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
