Orsago comune,Orsago comune.1
,
Orsago – VedutaIl campanile della chiesa parrocchiale,Orsago – VedutaIl campanile della chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Giancarlo Mion (lista civica Vivi Orsago) dal 10-6-2024
Territorio,Territorio
Coordinate,45°56′N 12°25′E
Altitudine,44 m s.l.m.
Superficie,"10,71 km²"
Abitanti,3 712[1] (30-11-2025)
Densità,"346,59 ab./km²"
Comuni confinanti,"Cordignano, Gaiarine, Godega di Sant'Urbano"
Altre informazioni,Altre informazioni
Cod. postale,31010
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026053
Cod. catastale,G123
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,orsaghesi
Patrono,san Benedetto da Norcia
Giorno festivo,11 luglio
Cartografia,Cartografia
Orsago,Orsago
Orsago – MappaIl territorio comunale nella provincia di Treviso.,Orsago – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
