Volpago del Montello comune,Volpago del Montello comune.1
,
Volpago del Montello – VedutaVilla Spineda,Volpago del Montello – VedutaVilla Spineda
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Paolo Guizzo (LSP - centro-destra) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°47′N 12°07′E
Altitudine,94 m s.l.m.
Superficie,"44,82 km²"
Abitanti,9 993[1] (30-11-2025)
Densità,"222,96 ab./km²"
Frazioni,"Santa Maria della Vittoria, Selva del Montello, Venegazzù"
Comuni confinanti,"Crocetta del Montello, Giavera del Montello, Montebelluna, Moriago della Battaglia, Paese, Ponzano Veneto, Povegliano, Sernaglia della Battaglia, Trevignano"
Altre informazioni,Altre informazioni
Cod. postale,31040
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026093
Cod. catastale,M118
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 436 GG[3]"
Nome abitanti,volpaghesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Volpago del Montello,Volpago del Montello
Volpago del Montello – MappaIl territorio comunale nella provincia di Treviso.,Volpago del Montello – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
