Loria comune,Loria comune.1
,
Loria – Veduta,Loria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Alberto Battistella (Impegno Comune Battistella Sindaco) dal 10-06-2024
Territorio,Territorio
Coordinate,45°44′N 11°52′E
Altitudine,75 m s.l.m.
Superficie,"23,25 km²"
Abitanti,9 225[1] (30-11-2025)
Densità,"396,77 ab./km²"
Frazioni,"Bessica, Castione, Ramon"
Comuni confinanti,"Cassola (VI), Castello di Godego, Galliera Veneta (PD), Mussolente (VI), Riese Pio X, Rossano Veneto (VI), San Martino di Lupari (PD), San Zenone degli Ezzelini"
Altre informazioni,Altre informazioni
Cod. postale,31037
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026036
Cod. catastale,E692
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 477 GG[3]"
Nome abitanti,loriati
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Loria,Loria
Loria – MappaIl territorio comunale nella provincia di Treviso.,Loria – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
