San Fior comune,San Fior comune.1
,
San Fior – VedutaIl centro (piazza Marconi col vecchio cinema e il Municipio),San Fior – VedutaIl centro (piazza Marconi col vecchio cinema e il Municipio)
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Gastone Martorel (Lista Civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°55′19.88″N 12°21′40.93″E
Altitudine,57 m s.l.m.
Superficie,"17,82 km²"
Abitanti,6 846[1] (30-11-2025)
Densità,"384,18 ab./km²"
Frazioni,"Castello Roganzuolo, San Fior di Sotto[2]"
Comuni confinanti,"Codognè, Colle Umberto, Conegliano, Godega di Sant'Urbano, San Vendemiano"
Altre informazioni,Altre informazioni
Cod. postale,31020
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026072
Cod. catastale,H843
Targa,TV
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 502 GG[4]"
Nome abitanti,sanfioresi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
San Fior,San Fior
San Fior – MappaIl territorio comunale nella provincia di Treviso.,San Fior – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
