Carbonera comune,Carbonera comune.1
,
Carbonera – VedutaVilla Tiepolo Passi,Carbonera – VedutaVilla Tiepolo Passi
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Federica Ortolan (centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°41′N 12°17′E
Altitudine,18 m s.l.m.
Superficie,"19,88 km²"
Abitanti,11 253[1] (30-11-2025)
Densità,"566,05 ab./km²"
Frazioni,"Biban, Mignagola, Pezzan, San Giacomo di Musestrelle, Vascon[2]"
Comuni confinanti,"Breda di Piave, Maserada sul Piave, San Biagio di Callalta, Silea, Spresiano, Treviso, Villorba"
Altre informazioni,Altre informazioni
Cod. postale,31030; 31050 (Vascon)
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026008
Cod. catastale,B744
Targa,TV
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 384 GG[4]"
Nome abitanti,carboneresi
Patrono,Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Carbonera,Carbonera
Carbonera – MappaIl territorio comunale nella provincia di Treviso.,Carbonera – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
