Vidor comune,Vidor comune.1
,
Vidor – VedutaPanorama su Vidor dal colle del Castello,Vidor – VedutaPanorama su Vidor dal colle del Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Mario Bailo (Lega Nord) dal 21-9-2020
Territorio,Territorio
Coordinate,45°52′N 12°02′E
Altitudine,152 m s.l.m.
Superficie,"13,43 km²"
Abitanti,3 563[1] (30-11-2025)
Densità,"265,3 ab./km²"
Frazioni,"Bosco, Colbertaldo[2] Località: Alnè di Sopra, Alnè di Sotto, Soprapiana, Borgo Busnello, Borgo Aquila"
Comuni confinanti,"Crocetta del Montello, Farra di Soligo, Moriago della Battaglia, Pederobba, Valdobbiadene"
Altre informazioni,Altre informazioni
Cod. postale,31020
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026090
Cod. catastale,L856
Targa,TV
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 470 GG[4]"
Nome abitanti,vidoresi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Vidor,Vidor
Vidor – MappaIl territorio comunale nella provincia di Treviso.,Vidor – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
