Nervesa della Battaglia comune,Nervesa della Battaglia comune.1
,
Nervesa della Battaglia – VedutaLa parrocchiale di San Giovanni Battista.,Nervesa della Battaglia – VedutaLa parrocchiale di San Giovanni Battista.
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Mara Fontebasso (FdI) dal 15-5-2023
Territorio,Territorio
Coordinate,45°49′17.91″N 12°12′24.24″E
Altitudine,78 m s.l.m.
Superficie,"34,97 km²"
Abitanti,6 597[1] (30-11-2025)
Densità,"188,65 ab./km²"
Frazioni,Bavaria[2]
Comuni confinanti,"Arcade, Giavera del Montello, Santa Lucia di Piave, Sernaglia della Battaglia, Spresiano, Susegana"
Altre informazioni,Altre informazioni
Cod. postale,31040
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026050
Cod. catastale,F872
Targa,TV
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 465 GG[4]"
Nome abitanti,nervesani
Patrono,san Gerolamo
Giorno festivo,ultimo lunedì di settembre
Cartografia,Cartografia
Nervesa della Battaglia,Nervesa della Battaglia
Nervesa della Battaglia – MappaIl territorio comunale nella provincia di Treviso.,Nervesa della Battaglia – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
