Moriago della Battaglia comune,Moriago della Battaglia comune.1
,
Moriago della Battaglia – VedutaLa chiesa parrocchiale di San Leonardo,Moriago della Battaglia – VedutaLa chiesa parrocchiale di San Leonardo
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Loris Rizzetto (LN) dal 15-5-2023
Territorio,Territorio
Coordinate,45°52′N 12°06′E
Altitudine,119 m s.l.m.
Superficie,"13,76 km²"
Abitanti,2 848[1] (30-11-2025)
Densità,"206,98 ab./km²"
Frazioni,"Mosnigo, Nosledo"
Comuni confinanti,"Crocetta del Montello, Farra di Soligo, Sernaglia della Battaglia, Vidor, Volpago del Montello"
Altre informazioni,Altre informazioni
Cod. postale,31010
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026048
Cod. catastale,F729
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 564 GG[3]"
Nome abitanti,moriaghesi
Patrono,san Leonardo
Giorno festivo,6 novembre
Cartografia,Cartografia
Moriago della Battaglia,Moriago della Battaglia
Moriago della Battaglia – MappaIl territorio comunale nella provincia di Treviso.,Moriago della Battaglia – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
