Gorgo al Monticano comune,Gorgo al Monticano comune.1
,
Gorgo al Monticano – VedutaLa chiesa parrocchiale di Gorgo,Gorgo al Monticano – VedutaLa chiesa parrocchiale di Gorgo
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Firmino Vettori (FdI-civiche) dal 10-6-2024
Territorio,Territorio
Coordinate,45°47′01.2″N 12°34′00.87″E
Altitudine,10 m s.l.m.
Superficie,"27,09 km²"
Abitanti,3 978[1] (30-11-2025)
Densità,"146,84 ab./km²"
Frazioni,"Cavalier, Navolè"
Comuni confinanti,"Chiarano, Mansuè, Meduna di Livenza, Motta di Livenza, Oderzo, Pasiano di Pordenone (PN)"
Altre informazioni,Altre informazioni
Cod. postale,31040
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026034
Cod. catastale,E092
Targa,TV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 354 GG[3]"
Nome abitanti,gorghensi
Patrono,santi Ippolito e Cassiano
Cartografia,Cartografia
Gorgo al Monticano,Gorgo al Monticano
Gorgo al Monticano – MappaIl territorio comunale nella provincia di Treviso.,Gorgo al Monticano – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
