Fregona comune,Fregona comune.1
,
Fregona – VedutaL'abitato di Fregona-Mezzavilla-Piai visto dal Pizzoc.,Fregona – VedutaL'abitato di Fregona-Mezzavilla-Piai visto dal Pizzoc.
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,"Giacomo De Luca (Lista civica di centro-sinistra ""Fregona Unita"") dall'11-6-2024"
Territorio,Territorio
Coordinate,46°00′00.78″N 12°20′20.26″E
Altitudine,251 m s.l.m.
Superficie,"42,72 km²"
Abitanti,2 752[1] (30-11-2025)
Densità,"64,42 ab./km²"
Frazioni,"Breda, Buse, Ciser, Col, Fratte, Fregona, Luca, Mezzavilla (sede comunale), Osigo, Piai, Sonego"
Comuni confinanti,"Alpago (BL), Caneva (PN), Cappella Maggiore, Cordignano, Sarmede, Tambre (BL), Vittorio Veneto"
Altre informazioni,Altre informazioni
Cod. postale,31010
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026030
Cod. catastale,D794
Targa,TV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 823 GG[3]"
Nome abitanti,fregonesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Fregona,Fregona
Fregona – MappaIl territorio comunale nella provincia di Treviso.,Fregona – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
