Casier comune,Casier comune.1
,
Casier – Veduta,Casier – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Capoluogo,Dosson
Sindaco,Renzo Carraretto (centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate del capoluogo,45°38′37″N 12°17′43″E
Altitudine,12 m s.l.m.
Superficie,"13,43 km²"
Abitanti,11 426[1] (30-11-2025)
Densità,"850,78 ab./km²"
Frazioni,"Casier, Dosson (sede comunale) Località: Frescada (parte), Le Grazie (parte), La Sicilia, Camate"
Comuni confinanti,"Casale sul Sile, Preganziol, Silea, Treviso"
Altre informazioni,Altre informazioni
Cod. postale,31030
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026010
Cod. catastale,B965
Targa,TV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 375 GG[3]"
Nome abitanti,casieresi
Patrono,san Teonisto e Cc.Mm.
Giorno festivo,30 ottobre
Cartografia,Cartografia
Dosson,Dosson
Casier – MappaIl territorio comunale nella provincia di Treviso.,Casier – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
