Meduna di Livenza comune,Meduna di Livenza comune.1
,
Meduna di Livenza – VedutaMunicipio di Meduna di Livenza,Meduna di Livenza – VedutaMunicipio di Meduna di Livenza
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Arnaldo Stefano Pitton (lista civica ProMeduna) dal 27-5-2019
Territorio,Territorio
Coordinate,45°48′N 12°37′E
Altitudine,8 m s.l.m.
Superficie,"15,38 km²"
Abitanti,2 970[1] (30-11-2025)
Densità,"193,11 ab./km²"
Frazioni,"Brische, Mure"
Comuni confinanti,"Annone Veneto (VE), Gorgo al Monticano, Motta di Livenza, Pasiano di Pordenone (PN), Pravisdomini (PN)"
Altre informazioni,Altre informazioni
Cod. postale,31040
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026041
Cod. catastale,F088
Targa,TV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 348 GG[3]"
Nome abitanti,medunesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Meduna di Livenza,Meduna di Livenza
Meduna di Livenza – MappaIl territorio comunale nella provincia di Treviso.,Meduna di Livenza – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
