Vedelago comune,Vedelago comune.1
,
Vedelago – Veduta,Vedelago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Giuseppe Romano (LSP - centro-destra) dal 29-5-2023
Territorio,Territorio
Coordinate,45°41′N 12°01′E
Altitudine,43 m s.l.m.
Superficie,"61,85 km²"
Abitanti,16 562[1] (30-11-2025)
Densità,"267,78 ab./km²"
Frazioni,"Albaredo, Barcon, Casacorba, Cavasagra, Fanzolo, Fossalunga"
Comuni confinanti,"Altivole, Castelfranco Veneto, Istrana, Montebelluna, Piombino Dese (PD), Resana, Riese Pio X, Trevignano"
Altre informazioni,Altre informazioni
Cod. postale,31050
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026089
Cod. catastale,L706
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 418 GG[3]"
Nome abitanti,vedelaghesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Vedelago,Vedelago
Vedelago – MappaIl territorio comunale nella provincia di Treviso.,Vedelago – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
