Segusino comune,Segusino comune.1
,
Segusino – Veduta,Segusino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Gloria Paulon (lista civica Insieme per Segusino) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°55′N 11°57′E
Altitudine,230 m s.l.m.
Superficie,"18,23 km²"
Abitanti,1 799[1] (30-11-2025)
Densità,"98,68 ab./km²"
Frazioni,"Milies, Stramare[2]"
Comuni confinanti,"Setteville (BL), Valdobbiadene"
Altre informazioni,Altre informazioni
Cod. postale,31040
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026079
Cod. catastale,I578
Targa,TV
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 735 GG[4]"
Nome abitanti,segusinesi
Patrono,santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Segusino,Segusino
Segusino – MappaIl territorio comunale nella provincia di Treviso.,Segusino – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
