Mansuè comune,Mansuè comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Leonio Milan (lista civica Ascoltare per servire) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°49′23.52″N 12°32′08.16″E
Altitudine,13 m s.l.m.
Superficie,"27,1 km²"
Abitanti,4 917[1] (30-11-2025)
Densità,"181,44 ab./km²"
Frazioni,Basalghelle
Comuni confinanti,"Fontanelle, Gaiarine, Gorgo al Monticano, Oderzo, Pasiano di Pordenone (PN), Portobuffolé, Prata di Pordenone (PN)"
Altre informazioni,Altre informazioni
Cod. postale,31040
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026037
Cod. catastale,E893
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 359 GG[3]"
Nome abitanti,mansuetani
Patrono,san Mansueto
Giorno festivo,3 settembre
Cartografia,Cartografia
Mansuè,Mansuè
Mansuè – MappaIl territorio comunale nella provincia di Treviso.,Mansuè – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
