Borso del Grappa comune,Borso del Grappa comune.1
,
Borso del Grappa – VedutaChiesa dei Santi Maria e Zenone,Borso del Grappa – VedutaChiesa dei Santi Maria e Zenone
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Fiorella Ravagnolo (lista civica Borso con Fiorella) dal 26-5-2025
Territorio,Territorio
Coordinate,45°49′N 11°48′E
Altitudine,279 m s.l.m.
Superficie,"33,14 km²"
Abitanti,5 978[1] (30-11-2025)
Densità,"180,39 ab./km²"
Frazioni,"Sant'Eulalia, Semonzo[2]"
Comuni confinanti,"Mussolente (VI), Pieve del Grappa, Pove del Grappa (VI), Romano d'Ezzelino (VI), San Zenone degli Ezzelini, Valbrenta (VI)"
Altre informazioni,Altre informazioni
Cod. postale,31030
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026004
Cod. catastale,B061
Targa,TV
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 738 GG[4]"
Nome abitanti,borsatti
Patrono,Madonna del Carmine e san Zenone
Giorno festivo,16 luglio
Cartografia,Cartografia
Borso del Grappa,Borso del Grappa
Borso del Grappa – MappaIl territorio comunale nella provincia di Treviso.,Borso del Grappa – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
