Arcade comune,Arcade comune.1
,
Arcade – Veduta,Arcade – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Domenico Presti (FdI) dal 15-5-2023
Territorio,Territorio
Coordinate,45°46′46.28″N 12°13′25.18″E
Altitudine,65 m s.l.m.
Superficie,"8,27 km²"
Abitanti,4 474[1] (30-11-2025)
Densità,"540,99 ab./km²"
Comuni confinanti,"Giavera del Montello, Nervesa della Battaglia, Povegliano, Spresiano, Villorba"
Altre informazioni,Altre informazioni
Cod. postale,31030
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026002
Cod. catastale,A360
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 441 GG[3]"
Nome abitanti,arcadesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Arcade,Arcade
Arcade – MappaIl territorio comunale nella provincia di Treviso.,Arcade – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
