Follina comune,Follina comune.1
,
Follina – VedutaLa facciata dell'abbazia,Follina – VedutaLa facciata dell'abbazia
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Paola Carniello (lista civica Follina In Comune) dal 10-6-2024
Territorio,Territorio
Coordinate,45°57′N 12°07′E
Altitudine,220 m s.l.m.
Superficie,"24,08 km²"
Abitanti,3 616[1] (30-11-2025)
Densità,"150,17 ab./km²"
Frazioni,"Farrò, Valmareno Località: Col, La Bella, Pedeguarda, Sottoriva"
Comuni confinanti,"Borgo Valbelluna (BL), Cison di Valmarino, Farra di Soligo, Miane, Pieve di Soligo"
Altre informazioni,Altre informazioni
Cod. postale,31051
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026027
Cod. catastale,D654
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 697 GG[3]"
Nome abitanti,follinesi
Giorno festivo,Pentecoste
Cartografia,Cartografia
Follina,Follina
Follina – MappaIl territorio comunale nella provincia di Treviso.,Follina – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
