Refrontolo comune,Refrontolo comune.1
,
Refrontolo – VedutaPanorama di Refrontolo da sud,Refrontolo – VedutaPanorama di Refrontolo da sud
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Mauro Canal (lista civica Per Refrontolo) dal 27-5-2019
Territorio,Territorio
Coordinate,45°55′N 12°12′E
Altitudine,216 m s.l.m.
Superficie,"13,04 km²"
Abitanti,1 698[1] (30-11-2025)
Densità,"130,21 ab./km²"
Comuni confinanti,"Cison di Valmarino, Pieve di Soligo, San Pietro di Feletto, Susegana, Tarzo"
Altre informazioni,Altre informazioni
Cod. postale,31020
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026065
Cod. catastale,H220
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,refrontolani o refrontolesi
Patrono,santa Margherita Vergine e Martire
Cartografia,Cartografia
Refrontolo,Refrontolo
Refrontolo – MappaIl territorio comunale nella provincia di Treviso.,Refrontolo – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
