Castelfranco Veneto comune,Castelfranco Veneto comune.1
,
"Castelfranco Veneto – VedutaLa porta ovest di accesso al centro, detta ""del Musile"".","Castelfranco Veneto – VedutaLa porta ovest di accesso al centro, detta ""del Musile""."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Stefano Marcon (centro-destra) dal 15-6-2015 (2º mandato dal 5-10-2020)
Territorio,Territorio
Coordinate,45°40′N 11°56′E
Altitudine,43 m s.l.m.
Superficie,"51,61 km²"
Abitanti,33 250[1] (30-11-2025)
Densità,"644,25 ab./km²"
Frazioni,"Campigo, Salvarosa, Salvatronda, San Floriano, Sant'Andrea oltre il Muson, Treville, Villarazzo"
Comuni confinanti,"Castello di Godego, Loreggia (PD), Resana, Riese Pio X, San Martino di Lupari (PD), Santa Giustina in Colle (PD), Vedelago"
Altre informazioni,Altre informazioni
Cod. postale,31033
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026012
Cod. catastale,C111
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 429 GG[3]"
Nome abitanti,castellani
Patrono,san Liberale
Giorno festivo,27 aprile
Cartografia,Cartografia
Castelfranco Veneto,Castelfranco Veneto
Castelfranco Veneto – MappaIl territorio comunale nella provincia di Treviso.,Castelfranco Veneto – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
