Cison di Valmarino comune,Cison di Valmarino comune.1
,
Cison di Valmarino – VedutaPanorama dal castello di Cison.,Cison di Valmarino – VedutaPanorama dal castello di Cison.
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Cristina Da Soller (lista civica Strada comune) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1866
Territorio,Territorio
Coordinate,45°58′13″N 12°08′35″E
Altitudine,261 m s.l.m.
Superficie,"28,81[1] km²"
Abitanti,2 426[2] (30-11-2025)
Densità,"84,21 ab./km²"
Frazioni,"Gai, Mura, Rolle, Tovena Località: Soller, San Boldo, Zuel[3]"
Comuni confinanti,"Borgo Valbelluna (BL), Follina, Pieve di Soligo, Refrontolo, Revine Lago, Tarzo"
Altre informazioni,Altre informazioni
Cod. postale,31030
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026018
Cod. catastale,C735
Targa,TV
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 808 GG[5]"
Nome abitanti,cisonesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
PIL,(nominale) 28378768 €
PIL procapite,(nominale) 10507 €
Cartografia,Cartografia
Cison di Valmarino,Cison di Valmarino
Cison di Valmarino – MappaIl territorio comunale nella provincia di Treviso.,Cison di Valmarino – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
