Monfumo comune,Monfumo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Luciano Ferrari (lista civica Nuova Monfumo) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°49′54.12″N 11°55′16.68″E
Altitudine,227 m s.l.m.
Superficie,"11,45 km²"
Abitanti,1 298[1] (30-11-2025)
Densità,"113,36 ab./km²"
Frazioni,Castelli
Comuni confinanti,"Asolo, Castelcucco, Cavaso del Tomba, Cornuda, Maser, Pederobba"
Altre informazioni,Altre informazioni
Cod. postale,31010
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026045
Cod. catastale,F360
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 641 GG[3]"
Nome abitanti,monfumesi
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Monfumo,Monfumo
Monfumo – MappaIl territorio comunale nella provincia di Treviso.,Monfumo – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
