Mareno di Piave comune,Mareno di Piave comune.1
(dettagli),(dettagli)
Mareno di Piave – VedutaLa chiesa parrocchiale,Mareno di Piave – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Andrea Modolo (lista civica Uniti per Mareno) dal 15-5-2023
Territorio,Territorio
Coordinate,45°50′27.17″N 12°21′07.2″E
Altitudine,36 m s.l.m.
Superficie,"27,77 km²"
Abitanti,9 374[1] (30-11-2025)
Densità,"337,56 ab./km²"
Frazioni,"Bocca di Strada, Ramera, Santa Maria del Piave, Soffratta"
Comuni confinanti,"Cimadolmo, Codognè, Conegliano, San Vendemiano, Santa Lucia di Piave, Spresiano, Vazzola"
Altre informazioni,Altre informazioni
Cod. postale,31010
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026038
Cod. catastale,E940
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 428 GG[3]"
Nome abitanti,marenesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Mareno di Piave,Mareno di Piave
Mareno di Piave – MappaIl territorio comunale nella provincia di Treviso.,Mareno di Piave – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
