Salgareda comune,Salgareda comune.1
,
Salgareda – Veduta,Salgareda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Andrea Favaretto (lista civica Civitas) dal 27-5-2019
Territorio,Territorio
Coordinate,45°42′21.96″N 12°29′28.68″E
Altitudine,8 m s.l.m.
Superficie,"27,55 km²"
Abitanti,6 539[1] (30-11-2025)
Densità,"237,35 ab./km²"
Frazioni,"Vigonovo di sopra, Talponada, Campobernardo, Campodipietra[2]"
Comuni confinanti,"Cessalto, Chiarano, Noventa di Piave (VE), San Biagio di Callalta, San Donà di Piave (VE), Ponte di Piave, Zenson di Piave"
Altre informazioni,Altre informazioni
Cod. postale,31040
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026070
Cod. catastale,H706
Targa,TV
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 351 GG[4]"
Nome abitanti,salgaredesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Salgareda,Salgareda
Salgareda – MappaIl territorio comunale nella provincia di Treviso.,Salgareda – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
