Mojo Alcantara comune,Mojo Alcantara comune.1
,
Mojo Alcantara – Veduta,Mojo Alcantara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,"Giuseppe Sindona, Antonella Re, Leonardo Richichi (commissione straordinaria) dal 3-2-2023"
Territorio,Territorio
Coordinate,37°53′58.81″N 15°02′56.54″E
Altitudine,535 m s.l.m.
Superficie,"8,6[1] km²"
Abitanti,681[2] (30-11-2025)
Densità,"79,19 ab./km²"
Comuni confinanti,"Castiglione di Sicilia (CT), Malvagna, Roccella Valdemone"
Altre informazioni,Altre informazioni
Cod. postale,98030
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083053
Cod. catastale,F277
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 546 GG[4]"
Nome abitanti,moiesi
Patrono,san Giuseppe
Giorno festivo,seconda domenica di maggio
Cartografia,Cartografia
Mojo Alcantara,Mojo Alcantara
Mojo Alcantara – MappaPosizione del comune di Mojo Alcantara all'interno della città metropolitana di Messina,Mojo Alcantara – MappaPosizione del comune di Mojo Alcantara all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
