Limina comune,Limina comune.1
,
Limina – Veduta,Limina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Filippo Ricciardi (lista civica) dal 5-10-2020
Territorio,Territorio
Coordinate,37°57′N 15°16′E
Altitudine,552 m s.l.m.
Superficie,"9,99[1] km²"
Abitanti,702[2] (30-11-2025)
Densità,"70,27 ab./km²"
Comuni confinanti,"Antillo, Casalvecchio Siculo, Forza d'Agrò, Mongiuffi Melia, Roccafiorita"
Altre informazioni,Altre informazioni
Lingue,siciliano e italiano
Cod. postale,98030
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083040
Cod. catastale,E594
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 570 GG[4]"
Nome abitanti,liminesi
Patrono,san Sebastiano
Giorno festivo,Prima domenica dopo il 20 gennaio
Cartografia,Cartografia
Limina,Limina
Limina – MappaPosizione del comune di Limina all'interno della città metropolitana di Messina,Limina – MappaPosizione del comune di Limina all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
