Mandanici comune,Mandanici comune.1
,
Mandanici – VedutaPanoramica notturna di Mandanici,Mandanici – VedutaPanoramica notturna di Mandanici
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Armando Carpo (lista civica) dal 9-06-2024
Territorio,Territorio
Coordinate,38°00′12″N 15°19′01″E
Altitudine,417 m s.l.m.
Superficie,"11,85[1] km²"
Abitanti,470[2] (30-11-2025)
Densità,"39,66 ab./km²"
Comuni confinanti,"Fiumedinisi, Nizza di Sicilia, Pagliara, Roccalumera, Santa Lucia del Mela"
Altre informazioni,Altre informazioni
Cod. postale,98020
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083045
Cod. catastale,E876
Targa,ME
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona C, 1 339 GG[4]"
Nome abitanti,"mandanicesi (arcaico ""mandaniciani"", mannanicioti in siciliano)"
Patrono,santa Domenica
Giorno festivo,6 luglio
Cartografia,Cartografia
Mandanici,Mandanici
Mandanici – MappaPosizione del comune di Mandanici all'interno della città metropolitana di Messina,Mandanici – MappaPosizione del comune di Mandanici all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
