Basicò comune,Basicò comune.1
,
Basicò – VedutaIl palazzo baronale,Basicò – VedutaIl palazzo baronale
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Filippo Gullo (lista civica) dal 5-10-2020
Territorio,Territorio
Coordinate,38°04′N 15°04′E
Altitudine,520 m s.l.m.
Superficie,"12,07[1] km²"
Abitanti,616[2] (30-11-2025)
Densità,"51,04 ab./km²"
Comuni confinanti,"Montalbano Elicona, Tripi-Abakainon"
Altre informazioni,Altre informazioni
Cod. postale,98060
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083006
Cod. catastale,A698
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 516 GG[4]"
Nome abitanti,basicotani
Patrono,san Francesco d'Assisi
Giorno festivo,4 ottobre
Cartografia,Cartografia
Basicò,Basicò
Basicò – MappaPosizione del comune di Basicò all'interno della città metropolitana di Messina,Basicò – MappaPosizione del comune di Basicò all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
