Motta Camastra comune,Motta Camastra comune.1
,
Motta Camastra – VedutaPanorama di Motta Camastra,Motta Camastra – VedutaPanorama di Motta Camastra
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Carmelo Blancato (lista civica Insieme per Motta Camastra) dal 10-6-2018
Territorio,Territorio
Coordinate,37°53′44.48″N 15°10′19.85″E
Altitudine,453 m s.l.m.
Superficie,"25,31[1] km²"
Abitanti,762[2] (30-11-2025)
Densità,"30,11 ab./km²"
Frazioni,"Fondaco Motta, San Cataldo"
Comuni confinanti,"Antillo, Castiglione di Sicilia (CT), Francavilla di Sicilia, Graniti"
Altre informazioni,Altre informazioni
Cod. postale,98030
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083058
Cod. catastale,F772
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 401 GG[4]"
Nome abitanti,mutticiani (siciliano) mottesi (italiano)
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Motta Camastra,Motta Camastra
Motta Camastra – MappaPosizione del comune di Motta Camastra all'interno della città metropolitana di Messina,Motta Camastra – MappaPosizione del comune di Motta Camastra all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
