Sant'Angelo di Brolo comune,Sant'Angelo di Brolo comune.1
,
Sant'Angelo di Brolo – Veduta,Sant'Angelo di Brolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Francesco Paolo Cortolillo dal 6-6-2016 (2º mandato dal 12-10-2021)
Territorio,Territorio
Coordinate,38°07′N 14°53′E
Altitudine,314 m s.l.m.
Superficie,"30,39[1] km²"
Abitanti,2 635[2] (30-11-2025)
Densità,"86,71 ab./km²"
Frazioni,"Altavilla, Annunziata, Barba, Basia, Calabrò, Calli, Cancello, Cartelli, Catticelli, Cavallo Pastorio, Centri, Ciminniti, Colantoni, Coniglione, Contura, Crupi, Cuvalo, Fonte, Fornace, Fosso Pino, Gallo, Gesù e Maria, Giardino, Guzzipodo, Irianni, Licastro, Lisicò, Lunella, Maddalena, Mannarà, Melano, Mezzagosto, Mosè, Nunziatella, Ortina, Pagliara, Papa, Perrizzi, Petraro, Piano Croce, Pietà, Pozzo Danile, Provvidenza, Raò, Rinaloro, Rocca Bianca, Rocche, Russo, San Biagio, San Carlo, San Gregorio, San Silvestro, San Simone, Santa Domenica, Santa Maria lo Piano, Santa Marta, Santa Venera, Sant'Orsola, Santo Leo, Santo Pietro, Scarapullì, Scrisà, Serrantini, Sillita, Soccorso, Spezzina, Staglianò, Stagnataro, Sulipani, Trumbì, Vallone Canneto, Vetriolo, Zifrò"
Comuni confinanti,"Brolo, Ficarra, Gioiosa Marea, Librizzi, Montagnareale, Piraino, Raccuja, San Piero Patti, Sinagra"
Altre informazioni,Altre informazioni
Cod. postale,98060
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083088
Cod. catastale,I283
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 163 GG[4]"
Nome abitanti,santangiolesi
Patrono,san Michele arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Sant'Angelo di Brolo,Sant'Angelo di Brolo
Sant'Angelo di Brolo – MappaPosizione del comune di Sant'Angelo di Brolo all'interno della città metropolitana di Messina,Sant'Angelo di Brolo – MappaPosizione del comune di Sant'Angelo di Brolo all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
