Furci Siculo comune,Furci Siculo comune.1
,
Furci Siculo – VedutaLungomare di Furci Siculo,Furci Siculo – VedutaLungomare di Furci Siculo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Matteo Giuseppe Francilia (lista civica) dal 10-6-2018 (2º mandato dal 29-5-2023)
Data di istituzione,20 luglio 1919
Territorio,Territorio
Coordinate,37°57′41″N 15°22′55″E
Altitudine,9 m s.l.m.
Superficie,"17,91[1] km²"
Abitanti,3 252[2] (30-11-2025)
Densità,"181,57 ab./km²"
Frazioni,"Artale, Calcare, Grotte"
Comuni confinanti,"Casalvecchio Siculo, Pagliara, Roccalumera, Santa Lucia del Mela, Santa Teresa di Riva, Savoca"
Altre informazioni,Altre informazioni
Cod. postale,98023
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083027
Cod. catastale,D824
Targa,ME
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona B, 642 GG[4]"
Nome abitanti,furcesi o furcioti
Patrono,Madonna del Rosario
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Furci Siculo,Furci Siculo
Furci Siculo – MappaPosizione del comune di Furci Siculo all'interno della città metropolitana di Messina,Furci Siculo – MappaPosizione del comune di Furci Siculo all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
