Tortorici comune,Tortorici comune.1
,
Tortorici – VedutaPanorama di Tortorici,Tortorici – VedutaPanorama di Tortorici
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Carmelo Rizzo Nervo[1][2] (lista civica) dal 13-11-2022
Territorio,Territorio
Coordinate,38°01′51″N 14°49′27″E
Altitudine,468 m s.l.m.
Superficie,"70,5[3] km²"
Abitanti,5 438[4] (30-11-2025)
Densità,"77,13 ab./km²"
Frazioni,Vedi Elenco
Comuni confinanti,"Bronte (CT), Castell'Umberto, Floresta, Galati Mamertino, Longi, Randazzo (CT), San Salvatore di Fitalia, Sinagra, Ucria"
Altre informazioni,Altre informazioni
Cod. postale,98078
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083099
Cod. catastale,L308
Targa,ME
Cl. sismica,zona 2 (sismicità media)[5]
Cl. climatica,"zona C, 1 396 GG[6]"
Nome abitanti,oricensi / tortoriciani
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Tortorici,Tortorici
Tortorici – MappaPosizione del comune di Tortorici all'interno della città metropolitana di Messina,Tortorici – MappaPosizione del comune di Tortorici all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
