Galati Mamertino comune,Galati Mamertino comune.1
,
Galati Mamertino – Veduta,Galati Mamertino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Vincenzo Amadore dal 12-10-2021
Territorio,Territorio
Coordinate,38°02′N 14°46′E
Altitudine,820 m s.l.m.
Superficie,"39,31[1] km²"
Abitanti,2 110[2] (30-11-2025)
Densità,"53,68 ab./km²"
Frazioni,San Basilio
Comuni confinanti,"Frazzanò, Longi, San Salvatore di Fitalia, Tortorici"
Altre informazioni,Altre informazioni
Cod. postale,98070
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083030
Cod. catastale,D861
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 977 GG[4]"
Nome abitanti,galatesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Galati Mamertino,Galati Mamertino
Galati Mamertino – MappaPosizione del comune di Galati Mamertino all'interno della città metropolitana di Messina,Galati Mamertino – MappaPosizione del comune di Galati Mamertino all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
