Pettineo comune,Pettineo comune.1
,
Pettineo – VedutaPanorama di Pettineo,Pettineo – VedutaPanorama di Pettineo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Domenico Ruffino (lista civica Pettineo domani) dall'11-6-2017
Territorio,Territorio
Coordinate,37°58′00.44″N 14°17′30.08″E
Altitudine,250 m s.l.m.
Superficie,"30,62[1] km²"
Abitanti,1 224[2] (30-11-2025)
Densità,"39,97 ab./km²"
Comuni confinanti,"Castel di Lucio, Mistretta, Motta d'Affermo, San Mauro Castelverde (PA), Tusa"
Altre informazioni,Altre informazioni
Cod. postale,98070
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,083067
Cod. catastale,G522
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 139 GG[4]"
Nome abitanti,pettinesi
Patrono,sant'Oliva
Giorno festivo,5 maggio
Cartografia,Cartografia
Pettineo,Pettineo
Pettineo – MappaPosizione del comune di Pettineo all'interno della città metropolitana di Messina,Pettineo – MappaPosizione del comune di Pettineo all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
