Terme Vigliatore comune,Terme Vigliatore comune.1
,
Terme Vigliatore – Veduta,Terme Vigliatore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Bartolo Cipriano (lista civica) dall'11-10-2021
Data di istituzione,28 giugno 1966
Territorio,Territorio
Coordinate,38°08′12.26″N 15°09′45.65″E
Altitudine,10 m s.l.m.
Superficie,"13,23[1] km²"
Abitanti,7 351[2] (30-11-2025)
Densità,"555,63 ab./km²"
Frazioni,"Acquitta, Maceo, Marchesana, San Biagio, Terme, Vigliatore"
Comuni confinanti,"Barcellona Pozzo di Gotto, Castroreale, Furnari, Mazzarrà Sant'Andrea, Rodì Milici"
Altre informazioni,Altre informazioni
Cod. postale,98050
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083106
Cod. catastale,M210
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 667 GG[4]"
Nome abitanti,"termensi, timminoti, acquittoti, lugghiaturoti, sambrasoti"
Patrono,Santa Maria delle Grazie San Biagio
Giorno festivo,15 settembre
Cartografia,Cartografia
Terme Vigliatore,Terme Vigliatore
Terme Vigliatore – MappaPosizione del comune di Terme Vigliatore all'interno della città metropolitana di Messina,Terme Vigliatore – MappaPosizione del comune di Terme Vigliatore all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
