Giardini-Naxos comune,Giardini-Naxos comune.1
,
Giardini-Naxos – VedutaPanorama di Giardini Naxos,Giardini-Naxos – VedutaPanorama di Giardini Naxos
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Giorgio Stracuzzi (lista civica) dal 4-10-2020
Territorio,Territorio
Coordinate,37°50′N 15°16′E
Altitudine,5 m s.l.m.
Superficie,"5,29[1] km²"
Abitanti,9 431[2] (30-11-2025)
Densità,"1 782,8 ab./km²"
Frazioni,"Calcarone, Chianchitta-Pallio, Naxos, Ortogrande, Recanati, Schisò"
Comuni confinanti,"Calatabiano (CT), Taormina"
Altre informazioni,Altre informazioni
Cod. postale,98035
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083032
Cod. catastale,E014
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 635 GG[4]"
Nome abitanti,giardinesi
Patrono,Maria Santissima Raccomandata
Giorno festivo,8 settembre
Cartografia,Cartografia
Giardini-Naxos,Giardini-Naxos
Giardini-Naxos – MappaPosizione del comune di Giardini Naxos all'interno della città metropolitana di Messina,Giardini-Naxos – MappaPosizione del comune di Giardini Naxos all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
