Roccavaldina comune,Roccavaldina comune.1
,
Roccavaldina – VedutaRoccavaldina,Roccavaldina – VedutaRoccavaldina
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Salvatore Visalli (lista civica Roccavaldina nostra) dall'11-6-2018
Territorio,Territorio
Coordinate,38°10′53.29″N 15°22′21.18″E
Altitudine,320 m s.l.m.
Superficie,"7,13[1] km²"
Abitanti,964[2] (30-11-2025)
Densità,"135,2 ab./km²"
Frazioni,"Cardà, San Salvatore"
Comuni confinanti,"Monforte San Giorgio, Rometta, Spadafora, Torregrotta, Valdina, Venetico"
Altre informazioni,Altre informazioni
Cod. postale,98040
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083073
Cod. catastale,H380
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 174 GG[4]"
Nome abitanti,roccesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Roccavaldina,Roccavaldina
Roccavaldina – MappaPosizione del comune di Roccavaldina nella città metropolitana di Messina,Roccavaldina – MappaPosizione del comune di Roccavaldina nella città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
