Castell'Umberto comune,Castell'Umberto comune.1
,
Castell'Umberto – VedutaLa sede municipale,Castell'Umberto – VedutaLa sede municipale
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Veronica Maria Armeli (lista civica) dal 30-05-2023
Territorio,Territorio
Coordinate,38°05′02.96″N 14°48′26.24″E
Altitudine,660 m s.l.m.
Superficie,"11,43[1] km²"
Abitanti,2 737[2] (30-11-2025)
Densità,"239,46 ab./km²"
Frazioni,"Acquamuta, Baracche, Cammara, Carnevale, Castello, Contura, Drià, Fontanamorte, Fornace, Margi, Morello, San Filippo, San Giorgio, Santa Croce, Santa Marina, Sfaranda, Sirico, Surra, Vecchio Centro (o Castania), Vecchiuzzo"
Comuni confinanti,"Naso, San Salvatore di Fitalia, Sinagra, Tortorici, Ucria"
Altre informazioni,Altre informazioni
Cod. postale,98070
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083014
Cod. catastale,C051
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 755 GG[4]"
Nome abitanti,castanesi/umbertini[5]
Patrono,san Vincenzo Ferreri
Giorno festivo,5 aprile/28 agosto
Cartografia,Cartografia
Castell'Umberto,Castell'Umberto
Castell'Umberto – MappaPosizione del comune di Castell'Umberto all'interno della città metropolitana di Messina,Castell'Umberto – MappaPosizione del comune di Castell'Umberto all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
