Gioiosa Marea comune,Gioiosa Marea comune.1
,
Gioiosa Marea – Veduta,Gioiosa Marea – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Tindara La Galia (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,38°10′N 14°54′E
Altitudine,30 m s.l.m.
Superficie,"26,48[1] km²"
Abitanti,6 690[2] (30-11-2025)
Densità,"252,64 ab./km²"
Frazioni,"Acquasanta, Balsima, Calavà, Casale, Cicà, Cirene, Fico, Fontane, Francari, Galbato, Landro, Lauro, Maddalena, Magaro, Malagotta, Mangano, Marotta, Palombaro, Puleci, Rocca, Russa, Saliceto, San Filippo, San Filippo Armo, San Francesco, San Giorgio, San Leonardo, Santa Lucia, Santa Margherita, Santo Stefano, Provvidenza"
Comuni confinanti,"Montagnareale, Patti, Piraino, Sant'Angelo di Brolo"
Altre informazioni,Altre informazioni
Cod. postale,98063
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083033
Cod. catastale,E043
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 678 GG[4]"
Nome abitanti,gioiosani
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Gioiosa Marea,Gioiosa Marea
Gioiosa Marea – MappaPosizione del comune di Gioiosa Marea all'interno della città metropolitana di Messina,Gioiosa Marea – MappaPosizione del comune di Gioiosa Marea all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
