Militello Rosmarino comune,Militello Rosmarino comune.1
,
Militello Rosmarino – Veduta,Militello Rosmarino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Calogero Lo Re (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,38°02′46.01″N 14°40′34.15″E
Altitudine,450 m s.l.m.
Superficie,"29,54[1] km²"
Abitanti,1 169[2] (30-11-2025)
Densità,"39,57 ab./km²"
Frazioni,"Astasi, Bolimi, Faia, Furci, Ferretta, Funtanedda, Lazzarotto, Pigasi (Picasi), Ramisi, Rantù, San Giorgio, San Leonardo, San Piero, Santa Domenica, Santa Maria, Sciumi, Scurzi, Varvazza."
Comuni confinanti,"Alcara Li Fusi, San Fratello, San Marco d'Alunzio, Sant'Agata di Militello, Torrenova"
Altre informazioni,Altre informazioni
Cod. postale,98070
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083050
Cod. catastale,F210
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 345 GG[4]"
Nome abitanti,militellesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Militello Rosmarino,Militello Rosmarino
Militello Rosmarino – MappaPosizione del comune di Militello Rosmarino all'interno della città metropolitana di Messina,Militello Rosmarino – MappaPosizione del comune di Militello Rosmarino all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
