Lipari comune,Lipari comune.1
,
Lipari – VedutaPanorama del centro abitato di Lipari,Lipari – VedutaPanorama del centro abitato di Lipari
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Riccardo Gullo (lista civica Rinascita Eoliana) dal 13-6-2022
Territorio,Territorio
Coordinate,38°28′02.21″N 14°57′19.59″E
Altitudine,44 m s.l.m.
Superficie,"89,72[1] km²"
Acque interne,Trascurabili
Abitanti,12 807[2] (30-11-2025)
Densità,"142,74 ab./km²"
Frazioni,27
Altre informazioni,Altre informazioni
Cod. postale,"98055, 98050"
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083041
Cod. catastale,E606
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 758 GG[4]"
Nome abitanti,liparesi o liparoti
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Parte di,regione agraria n.11 (Isole di Lipari)[5]
Motto,Per troppo fedeltà porto corona
Cartografia,Cartografia
Lipari,Lipari
Lipari – MappaPosizione del comune di Lipari nella città metropolitana di Messina,Lipari – MappaPosizione del comune di Lipari nella città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
