Malfa comune,Malfa comune.1
,
Malfa – VedutaVeduta di Malfa,Malfa – VedutaVeduta di Malfa
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Clara Rametta (vicesindaco f.f.) (lista civica) dall'11-6-2017
Territorio,Territorio
Coordinate,38°34′33.46″N 14°50′07.69″E
Altitudine,100 m s.l.m.
Superficie,"8,74[1] km²"
Acque interne,Trascurabili
Abitanti,989[2] (30-11-2025)
Densità,"113,16 ab./km²"
Frazioni,"Capo Faro, Pollara"
Comuni confinanti,"Leni, Santa Marina Salina"
Altre informazioni,Altre informazioni
Cod. postale,98050
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083043
Cod. catastale,E855
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 780 GG[4]"
Nome abitanti,malfitani
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Malfa,Malfa
Malfa – MappaPosizione del comune di Malfa nella città metropolitana di Messina,Malfa – MappaPosizione del comune di Malfa nella città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
