Acquedolci comune,Acquedolci comune.1
,
Acquedolci – VedutaPanorama di Acquedolci,Acquedolci – VedutaPanorama di Acquedolci
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Alvaro Riolo (lista civica) dal 12-6-2017
Data di istituzione,28 novembre 1969
Territorio,Territorio
Coordinate,38°03′N 14°35′E
Altitudine,16 m s.l.m.
Superficie,"12,93[1] km²"
Abitanti,5 533[2] (30-11-2025)
Densità,"427,92 ab./km²"
Comuni confinanti,"Caronia, San Fratello, Sant'Agata di Militello"
Altre informazioni,Altre informazioni
Cod. postale,98070
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083107
Cod. catastale,M211
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 716 GG[4]"
Nome abitanti,acquedolcesi o acquedolciani
Patrono,san Benedetto il Moro
Giorno festivo,4 aprile e 7 agosto
Cartografia,Cartografia
Acquedolci,Acquedolci
Acquedolci – MappaPosizione del comune di Acquedolci all'interno della città metropolitana di Messina,Acquedolci – MappaPosizione del comune di Acquedolci all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
