Mistretta comune,Mistretta comune.1
,
Mistretta – Veduta,Mistretta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Sebastiano Sanzarello (lista civica Ripartiamo Insieme[1]) dal 13-10-2021
Territorio,Territorio
Coordinate,37°55′47.46″N 14°21′46.33″E
Altitudine,970 m s.l.m.
Superficie,"127,47[2] km²"
Abitanti,4 160[3] (30-11-2025)
Densità,"32,64 ab./km²"
Comuni confinanti,"Capizzi, Caronia, Castel di Lucio, Cerami (EN), Nicosia (EN), Pettineo, Reitano, Santo Stefano di Camastra"
Altre informazioni,Altre informazioni
Cod. postale,98073
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,083052
Cod. catastale,F251
Targa,ME
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 165 GG[5]"
Nome abitanti,mistrettesi o amastratini
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Mistretta,Mistretta
Mistretta – MappaPosizione del comune di Mistretta all'interno della città metropolitana di Messina,Mistretta – MappaPosizione del comune di Mistretta all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
