Capri Leone comune,Capri Leone comune.1
,
Capri Leone – Veduta,Capri Leone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Bernadette Felice Grasso (FI) dal 13-6-2022
Territorio,Territorio
Coordinate,38°05′N 14°44′E
Altitudine,420 m s.l.m.
Superficie,"6,76[1] km²"
Abitanti,4 395[2] (30-11-2025)
Densità,"650,15 ab./km²"
Frazioni,Rocca
Comuni confinanti,"Capo d'Orlando, Frazzanò, Mirto, San Marco d'Alunzio, Torrenova"
Altre informazioni,Altre informazioni
Cod. postale,98070
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083010
Cod. catastale,B695
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 310 GG[4]"
Nome abitanti,caprileonesi
Patrono,san Costantino
Giorno festivo,ultimo sabato di luglio
Cartografia,Cartografia
Capri Leone,Capri Leone
Capri Leone – MappaPosizione del comune di Capri Leone all'interno della città metropolitana di Messina,Capri Leone – MappaPosizione del comune di Capri Leone all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
