Leni comune,Leni comune.1
,
Leni – VedutaPanorama di Leni dal monte Fossa delle Felci,Leni – VedutaPanorama di Leni dal monte Fossa delle Felci
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Ireneo Giardinello (lista civica) dal 9-6-2024
Data di istituzione,1909
Territorio,Territorio
Coordinate,38°33′17.64″N 14°49′30.72″E
Altitudine,202 m s.l.m.
Superficie,"8,79[1] km²"
Acque interne,Trascurabili
Abitanti,670[2] (30-11-2025)
Densità,"76,22 ab./km²"
Frazioni,"Rinella, Valdichiesa"
Comuni confinanti,"Malfa, Santa Marina Salina"
Altre informazioni,Altre informazioni
Cod. postale,98050
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083037
Cod. catastale,E523
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 972 GG[4]"
Nome abitanti,lenesi
Patrono,Maria Santissima del Terzito[5]
Giorno festivo,23 luglio
Cartografia,Cartografia
Leni,Leni
Leni – MappaPosizione del comune di Leni nella città metropolitana di Messina,Leni – MappaPosizione del comune di Leni nella città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
