Roccafiorita comune,Roccafiorita comune.1
,
Roccafiorita – Veduta,Roccafiorita – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Carmelo Concetto Orlando (lista civica) dal 10-6-2018
Data di istituzione,1947
Territorio,Territorio
Coordinate,37°55′49.95″N 15°16′06.89″E
Altitudine,723 m s.l.m.
Superficie,"1,17[1] km²"
Abitanti,155[2] (30-11-2025)
Densità,"132,48 ab./km²"
Comuni confinanti,"Antillo, Limina, Mongiuffi Melia"
Altre informazioni,Altre informazioni
Lingue,"italiano, siciliano"
Cod. postale,98030
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083071
Cod. catastale,H405
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 863 GG[4]"
Nome abitanti,roccafioritani
Patrono,Madonna dell'Aiuto
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Roccafiorita,Roccafiorita
Roccafiorita – MappaPosizione del comune di Roccafiorita all'interno della città metropolitana di Messina,Roccafiorita – MappaPosizione del comune di Roccafiorita all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
