Rodì Milici comune,Rodì Milici comune.1
,
Rodì Milici – VedutaIl centro abitato di Rodì,Rodì Milici – VedutaIl centro abitato di Rodì
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Eugenio Aliberti (lista civica) dal 5-6-2016 (2º mandato dal 10-10-2021)
Territorio,Territorio
Coordinate,38°06′29.63″N 15°10′09.59″E
Altitudine,125 m s.l.m.
Superficie,"36,55[1] km²"
Abitanti,1 945[2] (30-11-2025)
Densità,"53,21 ab./km²"
Frazioni,"Case Bruciate, Pietre Rosse"
Comuni confinanti,"Antillo, Castroreale, Fondachelli-Fantina, Mazzarrà Sant'Andrea, Novara di Sicilia, Terme Vigliatore"
Altre informazioni,Altre informazioni
Cod. postale,98059
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083075
Cod. catastale,H479
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 929 GG[4]"
Nome abitanti,rodiesi (rudioti) e milicesi (milicioti)
Patrono,"san Bartolomeo, san Filippo d'Agira (Rodì) san Giovanni (Milici)"
Giorno festivo,"24 agosto, 12 maggio, 24 giugno"
Cartografia,Cartografia
Rodì Milici,Rodì Milici
Rodì Milici – MappaPosizione del comune di Rodì Milici all'interno della città metropolitana di Messina,Rodì Milici – MappaPosizione del comune di Rodì Milici all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
