San Pier Niceto comune,San Pier Niceto comune.1
,
San Pier Niceto – VedutaVeduta panoramica,San Pier Niceto – VedutaVeduta panoramica
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Domenico Nastasi (lista civica Lista Gallo - Impegno per San Pier Niceto) dal 13-6-2022
Territorio,Territorio
Coordinate,38°09′32.08″N 15°21′06.73″E
Altitudine,260 m s.l.m.
Superficie,"36,68[1] km²"
Abitanti,2 523[2] (30-11-2025)
Densità,"68,78 ab./km²"
Frazioni,"Oliva, Pirrera, San Biagio, San Pier Marina, Serro, Zifronte"
Comuni confinanti,"Condrò, Fiumedinisi, Gualtieri Sicaminò, Monforte San Giorgio, Pace del Mela, Santa Lucia del Mela"
Altre informazioni,Altre informazioni
Cod. postale,98045
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083080
Cod. catastale,I084
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 071 GG[4]"
Nome abitanti,sanpietresi
Patrono,san Pietro apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
San Pier Niceto,San Pier Niceto
San Pier Niceto – MappaPosizione del comune di San Pier Niceto all'interno della città metropolitana di Messina,San Pier Niceto – MappaPosizione del comune di San Pier Niceto all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
