San Teodoro comune,San Teodoro comune.1
,
San Teodoro – Veduta,San Teodoro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Salvatore Agliozzo (lista civica) dal 29-05-2023
Territorio,Territorio
Coordinate,37°50′45.38″N 14°42′07.24″E
Altitudine,1 150 m s.l.m.
Superficie,"13,97[1] km²"
Abitanti,1 187[2] (30-11-2025)
Densità,"84,97 ab./km²"
Comuni confinanti,"Cesarò, Troina (EN)"
Altre informazioni,Altre informazioni
Cod. postale,98030
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,083090
Cod. catastale,I328
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 593 GG[4]"
Nome abitanti,santeodoresi
Patrono,san Gaetano Thiene
Giorno festivo,7 agosto
Cartografia,Cartografia
San Teodoro,San Teodoro
San Teodoro – MappaPosizione del comune di San Teodoro all'interno della città metropolitana di Messina,San Teodoro – MappaPosizione del comune di San Teodoro all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
