Montalbano Elicona comune,Montalbano Elicona comune.1
,
Montalbano Elicona – Veduta,Montalbano Elicona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Antonino Todaro (lista civica Montalbano nel cuore) dal 13-6-2022
Territorio,Territorio
Coordinate,38°01′24.28″N 15°00′49.18″E
Altitudine,870 m s.l.m.
Superficie,"67,8[1] km²"
Abitanti,2 090[2] (30-11-2025)
Densità,"30,83 ab./km²"
Frazioni,"Pellizzaro, Santa Barbara, Casale, Santa Maria, Toscano, Villa Braidi[3]"
Comuni confinanti,"Basicò, Falcone, Floresta, Francavilla di Sicilia, Librizzi, Malvagna, Oliveri, Patti, Raccuja, Roccella Valdemone, San Piero Patti, Santa Domenica Vittoria, Tripi-Abakainon"
Altre informazioni,Altre informazioni
Cod. postale,98065
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083057
Cod. catastale,F400
Targa,ME
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 200 GG[5]"
Nome abitanti,montalbanesi
Patrono,Madonna della Provvidenza
Giorno festivo,24 agosto
Cartografia,Cartografia
Montalbano Elicona,Montalbano Elicona
Montalbano Elicona – MappaPosizione del comune di Montalbano Elicona all'interno della città metropolitana di Messina,Montalbano Elicona – MappaPosizione del comune di Montalbano Elicona all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
