Novara di Sicilia comune,Novara di Sicilia comune.1
,
Novara di Sicilia – VedutaVeduta,Novara di Sicilia – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Girolamo Bertolami (lista civica Libertà e progresso) dall'8-5-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,38°01′N 15°08′E
Altitudine,650 m s.l.m.
Superficie,"49,18[1] km²"
Abitanti,1 046[2] (30-11-2025)
Densità,"21,27 ab./km²"
Frazioni,"San Basilio, Badiavecchia, San Marco, Piano Vigna, Vallancazza, Scellia, Santa Barbara"
Comuni confinanti,"Fondachelli-Fantina, Francavilla di Sicilia, Mazzarrà Sant'Andrea, Rodì Milici, Tripi-Abakainon"
Altre informazioni,Altre informazioni
Cod. postale,98058
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083062
Cod. catastale,F951
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 738 GG[4]"
Nome abitanti,novaresi
Patrono,"Maria Santissima Assunta, sant'Ugo abate"
Giorno festivo,15 e 16 agosto
Cartografia,Cartografia
Novara di Sicilia,Novara di Sicilia
Novara di Sicilia – MappaPosizione del comune di Novara di Sicilia all'interno della città metropolitana di Messina,Novara di Sicilia – MappaPosizione del comune di Novara di Sicilia all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
