Fiumedinisi comune,Fiumedinisi comune.1
,
Fiumedinisi – VedutaVeduta di Fiumedinisi dal castello,Fiumedinisi – VedutaVeduta di Fiumedinisi dal castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Giovanni Sebastiano De Luca (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,38°01′33″N 15°22′55″E
Altitudine,190 m s.l.m.
Superficie,"36,69[1] km²"
Abitanti,1 246[2] (30-11-2025)
Densità,"33,96 ab./km²"
Comuni confinanti,"Alì, Alì Terme, Itala, Mandanici, Messina, Monforte San Giorgio, Nizza di Sicilia, Roccalumera, San Pier Niceto, Santa Lucia del Mela"
Altre informazioni,Altre informazioni
Lingue,"italiano, siciliano"
Cod. postale,98022
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083021
Cod. catastale,D622
Targa,ME
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona C, 968 GG[4]"
Nome abitanti,fiumedinisani
Patrono,Maria Santissima dell'Annunziata
Giorno festivo,25 marzo
Cartografia,Cartografia
Fiumedinisi,Fiumedinisi
Fiumedinisi – MappaPosizione del comune di Fiumedinisi all'interno della città metropolitana di Messina,Fiumedinisi – MappaPosizione del comune di Fiumedinisi all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
