Castel di Lucio comune,Castel di Lucio comune.1
,
Castel di Lucio – Veduta,Castel di Lucio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Giuseppe Francesco Giordano (lista civica Rinnoviamo Castel di Lucio) dal 29-5-2023
Territorio,Territorio
Coordinate,37°53′N 14°19′E
Altitudine,753 m s.l.m.
Superficie,"28,78[1] km²"
Abitanti,1 362[2] (30-11-2025)
Densità,"47,32 ab./km²"
Comuni confinanti,"Geraci Siculo (PA), Mistretta, Nicosia (EN), Pettineo, San Mauro Castelverde (PA)"
Altre informazioni,Altre informazioni
Cod. postale,98070
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,083013
Cod. catastale,C094
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 914 GG[4]"
Nome abitanti,castelluccesi
Patrono,san Placido
Giorno festivo,5 ottobre
Cartografia,Cartografia
Castel di Lucio,Castel di Lucio
Castel di Lucio – MappaPosizione del comune di Castel di Lucio all'interno della città metropolitana di Messina,Castel di Lucio – MappaPosizione del comune di Castel di Lucio all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
