Monforte San Giorgio comune,Monforte San Giorgio comune.1
,
Monforte San Giorgio – Veduta,Monforte San Giorgio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Antonio Pinizzotto (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,38°10′N 15°22′E
Altitudine,287 m s.l.m.
Superficie,"32,26[1] km²"
Abitanti,2 394[2] (30-11-2025)
Densità,"74,21 ab./km²"
Frazioni,Monforte Marina. Pellegrino
Comuni confinanti,"Fiumedinisi, Messina, Roccavaldina, Rometta, San Pier Niceto, Torregrotta"
Altre informazioni,Altre informazioni
Cod. postale,98041
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083054
Cod. catastale,F359
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 117 GG[4]"
Nome abitanti,monfortesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Monforte San Giorgio,Monforte San Giorgio
Monforte San Giorgio – MappaPosizione del comune di Monforte San Giorgio all'interno della città metropolitana di Messina,Monforte San Giorgio – MappaPosizione del comune di Monforte San Giorgio all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
