Castroreale comune,Castroreale comune.1
,
Castroreale – Veduta,Castroreale – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Giuseppe Mandanici (lista civica Crescere insieme) dal 13-6-2022
Territorio,Territorio
Coordinate,38°06′N 15°13′E
Altitudine,394 m s.l.m.
Superficie,"53,07[1] km²"
Abitanti,2 230[2] (30-11-2025)
Densità,"42,02 ab./km²"
Frazioni,"Bafia, Protonotaro"
Comuni confinanti,"Antillo, Barcellona Pozzo di Gotto, Casalvecchio Siculo, Rodì Milici, Santa Lucia del Mela, Terme Vigliatore"
Altre informazioni,Altre informazioni
Cod. postale,98053
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083016
Cod. catastale,C347
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 300 GG[4]"
Nome abitanti,Castroregalesi - Castrorealesi - Castrensi
Patrono,San Silvestro Papa
Giorno festivo,31 dicembre
Cartografia,Cartografia
Castroreale,Castroreale
Castroreale – MappaPosizione del comune di Castroreale all'interno della città metropolitana di Messina,Castroreale – MappaPosizione del comune di Castroreale all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
