San Marco d'Alunzio comune,San Marco d'Alunzio comune.1
,
San Marco d'Alunzio – VedutaL'abitato di San Marco d'Alunzio,San Marco d'Alunzio – VedutaL'abitato di San Marco d'Alunzio
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Filippo Miracula (lista civica) dal 12-10-2021
Territorio,Territorio
Coordinate,38°04′23.97″N 14°41′58.11″E
Altitudine,548 m s.l.m.
Superficie,"26,14[1] km²"
Abitanti,1 779[2] (30-11-2025)
Densità,"68,06 ab./km²"
Comuni confinanti,"Alcara Li Fusi, Capri Leone, Frazzanò, Longi, Militello Rosmarino, Torrenova"
Altre informazioni,Altre informazioni
Cod. postale,98070
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083079
Cod. catastale,H982
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 550 GG[4]"
Nome abitanti,aluntini
Patrono,san Marco e san Nicola
Giorno festivo,31 luglio
Cartografia,Cartografia
San Marco d'Alunzio,San Marco d'Alunzio
San Marco d'Alunzio – MappaPosizione del comune di San Marco d'Alunzio all'interno della città metropolitana di Messina,San Marco d'Alunzio – MappaPosizione del comune di San Marco d'Alunzio all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
