Nizza di Sicilia comune,Nizza di Sicilia comune.1
,
Nizza di Sicilia – Veduta,Nizza di Sicilia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Natale Briguglio (lista civica) dal 13-6-2022
Data di istituzione,3 dicembre 1948
Territorio,Territorio
Coordinate,37°59′41″N 15°24′46″E
Altitudine,9 m s.l.m.
Superficie,"13,42[1] km²"
Abitanti,3 499[2] (30-11-2025)
Densità,"260,73 ab./km²"
Comuni confinanti,"Alì Terme, Fiumedinisi, Mandanici, Roccalumera"
Altre informazioni,Altre informazioni
Lingue,siciliano e italiano
Cod. postale,98026
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083061
Cod. catastale,F901
Targa,ME
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona B, 642 GG[4]"
Nome abitanti,nizzardi
Patrono,Maria Assunta e san Giuseppe
Giorno festivo,15 agosto e 19 marzo
Cartografia,Cartografia
Nizza di Sicilia,Nizza di Sicilia
Nizza di Sicilia – MappaPosizione del comune di Nizza di Sicilia all'interno della città metropolitana di Messina,Nizza di Sicilia – MappaPosizione del comune di Nizza di Sicilia all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
