Letojanni comune,Letojanni comune.1
,
Letojanni – Veduta,Letojanni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Alessandro Costa (SCN/lista civica Letojanni Domani - Alessandro Costa Sindaco) dall'8-5-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,37°53′N 15°18′E
Altitudine,5 m s.l.m.
Superficie,"6,72[1] km²"
Abitanti,2 983[2] (30-11-2025)
Densità,"443,9 ab./km²"
Comuni confinanti,"Castelmola, Forza d'Agrò, Gallodoro, Mongiuffi Melia, Taormina"
Altre informazioni,Altre informazioni
Cod. postale,98037
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083038
Cod. catastale,E555
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 635 GG[4]"
Nome abitanti,letojannesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Letojanni,Letojanni
Letojanni – MappaPosizione del comune di Letojanni all'interno della città metropolitana di Messina,Letojanni – MappaPosizione del comune di Letojanni all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
