Mirto comune,Mirto comune.1
,
Mirto – Veduta,Mirto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Maurizio Zingales (lista civica Pace Lavoro Libertà-Zingales Sindaco) dal 1-6-2015 (2º mandato dal 5-10-2020)
Territorio,Territorio
Coordinate,38°05′N 14°45′E
Altitudine,428 m s.l.m.
Superficie,"9,27[1] km²"
Abitanti,856[2] (30-11-2025)
Densità,"92,34 ab./km²"
Comuni confinanti,"Capo d'Orlando, Capri Leone, Frazzanò, Naso, San Salvatore di Fitalia"
Altre informazioni,Altre informazioni
Cod. postale,98070
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083051
Cod. catastale,F242
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 358 GG[4]"
Nome abitanti,mirtesi
Patrono,santa Tecla di Iconio
Giorno festivo,24 settembre
Cartografia,Cartografia
Mirto,Mirto
Mirto – MappaPosizione del comune di Mirto all'interno della città metropolitana di Messina,Mirto – MappaPosizione del comune di Mirto all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
