Motta d'Affermo comune,Motta d'Affermo comune.1
,
Motta d'Affermo – VedutaLa costa tirrenica nei pressi di Motta d'Affermo,Motta d'Affermo – VedutaLa costa tirrenica nei pressi di Motta d'Affermo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Sebastiano Adamo (lista civica) dall'11-6-2017
Territorio,Territorio
Coordinate,37°58′52.18″N 14°18′07.42″E
Altitudine,660 m s.l.m.
Superficie,"14,58[1] km²"
Abitanti,648[2] (30-11-2025)
Densità,"44,44 ab./km²"
Frazioni,Torremuzza
Comuni confinanti,"Pettineo, Reitano, Tusa"
Altre informazioni,Altre informazioni
Cod. postale,98070
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,083059
Cod. catastale,F773
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 755 GG[4]"
Nome abitanti,mottesi
Patrono,san Luca
Giorno festivo,18 ottobre
Cartografia,Cartografia
Motta d'Affermo,Motta d'Affermo
Motta d'Affermo – MappaPosizione del comune di Motta d'Affermo all'interno della città metropolitana di Messina,Motta d'Affermo – MappaPosizione del comune di Motta d'Affermo all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
