Longi comune,Longi comune.1
,
Longi – VedutaPanorama da Galati Mamertino,Longi – VedutaPanorama da Galati Mamertino
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Calogero Lazzara (lista civica Rinascita Longese) dall'11-6-2024
Territorio,Territorio
Coordinate,38°02′N 14°45′E
Altitudine,616 m s.l.m.
Superficie,"42,11[1] km²"
Abitanti,1 249[2] (30-11-2025)
Densità,"29,66 ab./km²"
Frazioni,"Crocetta, Filipelli, Pado, Stazzone"
Comuni confinanti,"Alcara li Fusi, Bronte (CT), Cesarò, Frazzanò, Galati Mamertino, Maniace (CT), San Marco d'Alunzio, Tortorici"
Altre informazioni,Altre informazioni
Cod. postale,98070
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083042
Cod. catastale,E674
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 680 GG[4]"
Nome abitanti,longesi
Patrono,san Leone
Giorno festivo,"20 febbraio, 1º maggio, 23 agosto"
Cartografia,Cartografia
Longi,Longi
Longi – MappaPosizione del comune di Longi all'interno della città metropolitana di Messina,Longi – MappaPosizione del comune di Longi all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
